,Name,Replacement,Frequency
467,Adrid,proper_name_surname,0.0
468,Adrien,proper_name_male,0.001
469,Adriene,proper_name_male,0.002
470,Adrienne,proper_name_male,0.039
471,Adrion,proper_name_surname,0.0
472,Adrovel,proper_name_surname,0.0
473,Adside,proper_name_surname,0.0
474,Adsit,proper_name_surname,0.0
475,Adu,proper_name_surname,0.0
476,Aduddell,proper_name_surname,0.0
477,Adule,proper_name_surname,0.0
478,Adwell,proper_name_surname,0.0
479,Ady,proper_name_surname,0.0
480,Adzhabakyan,proper_name_surname,0.0
481,Aegerter,proper_name_surname,0.0
482,Aeillo,proper_name_surname,0.0
483,Aeling,proper_name_surname,0.0
484,Aemmer,proper_name_surname,0.0
485,Aerni,proper_name_surname,0.0
486,Aerts,proper_name_surname,0.0
487,Aery,proper_name_surname,0.0
488,Aeschbacher,proper_name_surname,0.0
489,Aeschliman,proper_name_surname,0.0
490,Aeschlimann,proper_name_surname,0.0
491,Afable,proper_name_surname,0.0
492,Afalava,proper_name_surname,0.0
493,Afan,proper_name_surname,0.0
494,Afanador,proper_name_surname,0.0
495,Affagato,proper_name_surname,0.0
496,Affeld,proper_name_surname,0.0
497,Affelt,proper_name_surname,0.0
498,Affeltranger,proper_name_surname,0.0
499,Affleck,proper_name_surname,0.0
500,Afflick,proper_name_surname,0.0
501,Affolter,proper_name_surname,0.0
502,Affronti,proper_name_surname,0.0
503,Aflalo,proper_name_surname,0.0
504,Afoa,proper_name_surname,0.0
505,Afonso,proper_name_surname,0.0
506,Africa,proper_name_surname,0.0
507,Afshar,proper_name_surname,0.0
508,Afshari,proper_name_surname,0.0
509,Afton,proper_name_male,0.003
510,Afurong,proper_name_surname,0.0
511,Afzal,proper_name_surname,0.0
512,Agamao,proper_name_surname,0.0
513,Agan,proper_name_surname,0.001
514,Agans,proper_name_surname,0.0
515,Agar,proper_name_surname,0.001
516,Agard,proper_name_surname,0.0
517,Agarwal,proper_name_surname,0.001
518,Agatha,proper_name_male,0.007
519,Agbayani,proper_name_surname,0.0
520,Agbisit,proper_name_surname,0.0
521,Agcaoili,proper_name_surname,0.0
522,Age,proper_name_surname,0.0
523,Ageboi,proper_name_surname,0.0
524,Agee,proper_name_surname,0.005
525,Agel,proper_name_surname,0.0
526,Agemy,proper_name_surname,0.0
527,Agena,proper_name_surname,0.0
528,Agent,proper_name_surname,0.0
529,Ager,proper_name_surname,0.001
530,Agers,proper_name_surname,0.0
531,Agerter,proper_name_surname,0.0
532,Agerton,proper_name_surname,0.0
533,Aggarwal,proper_name_surname,0.0
534,Aggas,proper_name_surname,0.0
535,Aggers,proper_name_surname,0.0
536,Agib,proper_name_surname,0.0
537,Agilar,proper_name_surname,0.0
538,Agin,proper_name_surname,0.001
539,Agins,proper_name_surname,0.0
540,Agle,proper_name_surname,0.0
541,Agler,proper_name_surname,0.0
542,Agliam,proper_name_surname,0.0
543,Agne,proper_name_surname,0.0
544,Agnelli,proper_name_surname,0.0
545,Agnello,proper_name_surname,0.0
546,Agner,proper_name_surname,0.0
547,Agnes,proper_name_male,0.098
548,Agnew,proper_name_surname,0.003
549,Agney,proper_name_surname,0.0
550,Agni,proper_name_surname,0.0
551,Agnor,proper_name_surname,0.0
552,Agnus,proper_name_male,0.001
553,Agoff,proper_name_surname,0.0
554,Agonoy,proper_name_surname,0.0
555,Agor,proper_name_surname,0.0
556,Agoras,proper_name_surname,0.0
557,Agoro,proper_name_surname,0.0
558,Agosta,proper_name_surname,0.0
559,Agosti,proper_name_surname,0.0
560,Agostinelli,proper_name_surname,0.0
561,Agostini,proper_name_surname,0.001
562,Agostino,proper_name_surname,0.0
563,Agosto,proper_name_surname,0.002
564,Agpaoa,proper_name_surname,0.0
565,Agramonte,proper_name_surname,0.0
566,Agrawal,proper_name_surname,0.0
567,Agre,proper_name_surname,0.0
568,Agreda,proper_name_surname,0.0
569,Agredano,proper_name_surname,0.0
570,Agrela,proper_name_surname,0.0
571,Agresta,proper_name_surname,0.0
572,Agreste,proper_name_surname,0.0
573,Agresti,proper_name_surname,0.0
574,Agresto,proper_name_surname,0.0
575,Agricola,proper_name_surname,0.0
576,Agriesti,proper_name_surname,0.0
577,Agrios,proper_name_surname,0.0
578,Agripina,proper_name_male,0.001
579,Agro,proper_name_surname,0.0
580,Agron,proper_name_surname,0.0
581,Agtarap,proper_name_surname,0.0
582,Aguada,proper_name_surname,0.0
583,Aguado,proper_name_surname,0.0
584,Aguallo,proper_name_surname,0.0
585,Aguas,proper_name_surname,0.0
586,Aguayo,proper_name_surname,0.003
587,Agudelo,proper_name_surname,0.0
588,Agudo,proper_name_surname,0.0
589,Agueda,proper_name_male,0.001
590,Aguele,proper_name_surname,0.0
591,Aguero,proper_name_surname,0.001
592,Aguiar,proper_name_surname,0.003
593,Aguila,proper_name_surname,0.001
594,Aguilar,proper_name_surname,0.03
595,Aguiler,proper_name_surname,0.0
596,Aguilera,proper_name_surname,0.006
597,Aguillar,proper_name_surname,0.0
598,Aguillard,proper_name_surname,0.0
599,Aguillera,proper_name_surname,0.0
600,Aguillon,proper_name_surname,0.0
601,Aguinaga,proper_name_surname,0.0
602,Aguinaldo,proper_name_surname,0.001
